id,question,OptionA,OptionB,OptionC,OptionD,OptionE,correct_answer,explanation,difficulty
336,(4 [9] 3)  (12 [29] 7)  (9 [?] 5),27,23,22,21,24,C,The rule is: multiply the left number by 3 and subtract the right. Check Example 1: (3 * 4) - 3 = 9. Check Example 2: (3 * 12) - 7 = 29. Apply to Question: (3 * 9) - 5 = 22.,3
337,(11 [48] 13)  (5 [32] 11)  (14 [?] 5),28,31,48,39,38,E,The rule is: add the numbers and multiply the result by 2. Check Example 1: (11 + 13) * 2 = 48. Check Example 2: (5 + 11) * 2 = 32. Apply to Question: (14 + 5) * 2 = 38.,3
338,(6 [40] 4)  (8 [70] 6)  (6 [?] 2),38,48,43,37,28,A,The rule is: square the left number and add the right number. Check Example 1: (6² + 4) = 40. Check Example 2: (8² + 6) = 70. Apply to Question: (6² + 2) = 38.,3
339,(11 [107] 10)  (3 [33] 12)  (5 [?] 12),55,56,58,57,59,D,The rule is: multiply the numbers and subtract 3. Check Example 1: (11 * 10) - 3 = 107. Check Example 2: (3 * 12) - 3 = 33. Apply to Question: (5 * 12) - 3 = 57.,3
340,(11 [27] 6)  (3 [2] 7)  (5 [?] 12),1,13,2,5,3,E,The rule is: multiply the left number by 3 and subtract the right. Check Example 1: (3 * 11) - 6 = 27. Check Example 2: (3 * 3) - 7 = 2. Apply to Question: (3 * 5) - 12 = 3.,3
341,(3 [28] 11)  (7 [38] 12)  (4 [?] 13),34,39,33,32,31,A,The rule is: add the numbers and multiply the result by 2. Check Example 1: (3 + 11) * 2 = 28. Check Example 2: (7 + 12) * 2 = 38. Apply to Question: (4 + 13) * 2 = 34.,3
342,(9 [28] 5)  (5 [38] 14)  (10 [?] 4),23,28,24,29,33,B,The rule is: add the numbers and multiply the result by 2. Check Example 1: (9 + 5) * 2 = 28. Check Example 2: (5 + 14) * 2 = 38. Apply to Question: (10 + 4) * 2 = 28.,3
343,(14 [54] 13)  (3 [20] 7)  (6 [?] 15),42,41,39,32,38,A,The rule is: add the numbers and multiply the result by 2. Check Example 1: (14 + 13) * 2 = 54. Check Example 2: (3 + 7) * 2 = 20. Apply to Question: (6 + 15) * 2 = 42.,3
344,(9 [89] 8)  (7 [57] 8)  (8 [?] 5),67,70,74,79,69,E,The rule is: square the left number and add the right number. Check Example 1: (9² + 8) = 89. Check Example 2: (7² + 8) = 57. Apply to Question: (8² + 5) = 69.,3
345,(9 [105] 12)  (4 [25] 7)  (4 [?] 3),10,14,11,8,9,E,The rule is: multiply the numbers and subtract 3. Check Example 1: (9 * 12) - 3 = 105. Check Example 2: (4 * 7) - 3 = 25. Apply to Question: (4 * 3) - 3 = 9.,3
346,(5 [28] 3)  (5 [31] 6)  (3 [?] 6),12,5,14,15,25,D,The rule is: square the left number and add the right number. Check Example 1: (5² + 3) = 28. Check Example 2: (5² + 6) = 31. Apply to Question: (3² + 6) = 15.,3
347,(4 [20] 6)  (4 [32] 12)  (7 [?] 3),19,20,24,18,22,B,The rule is: add the numbers and multiply the result by 2. Check Example 1: (4 + 6) * 2 = 20. Check Example 2: (4 + 12) * 2 = 32. Apply to Question: (7 + 3) * 2 = 20.,3
348,(7 [53] 8)  (6 [21] 4)  (3 [?] 7),17,23,21,18,15,D,The rule is: multiply the numbers and subtract 3. Check Example 1: (7 * 8) - 3 = 53. Check Example 2: (6 * 4) - 3 = 21. Apply to Question: (3 * 7) - 3 = 18.,3
349,(7 [18] 3)  (4 [9] 3)  (3 [?] 12),32,34,23,33,35,D,The rule is: multiply the numbers and subtract 3. Check Example 1: (7 * 3) - 3 = 18. Check Example 2: (4 * 3) - 3 = 9. Apply to Question: (3 * 12) - 3 = 33.,3
350,(11 [30] 3)  (7 [13] 8)  (11 [?] 8),24,23,26,25,30,D,The rule is: multiply the left number by 3 and subtract the right. Check Example 1: (3 * 11) - 3 = 30. Check Example 2: (3 * 7) - 8 = 13. Apply to Question: (3 * 11) - 8 = 25.,3
351,(3 [17] 8)  (3 [11] 2)  (4 [?] 3),21,16,17,19,18,D,The rule is: square the left number and add the right number. Check Example 1: (3² + 8) = 17. Check Example 2: (3² + 2) = 11. Apply to Question: (4² + 3) = 19.,3
352,(3 [22] 8)  (5 [16] 3)  (5 [?] 4),28,19,17,20,18,E,The rule is: add the numbers and multiply the result by 2. Check Example 1: (3 + 8) * 2 = 22. Check Example 2: (5 + 3) * 2 = 16. Apply to Question: (5 + 4) * 2 = 18.,3
353,(8 [93] 12)  (5 [32] 7)  (5 [?] 4),17,19,7,15,22,A,The rule is: multiply the numbers and subtract 3. Check Example 1: (8 * 12) - 3 = 93. Check Example 2: (5 * 7) - 3 = 32. Apply to Question: (5 * 4) - 3 = 17.,3
354,(5 [33] 8)  (7 [57] 8)  (6 [?] 4),39,38,50,42,40,E,The rule is: square the left number and add the right number. Check Example 1: (5² + 8) = 33. Check Example 2: (7² + 8) = 57. Apply to Question: (6² + 4) = 40.,3
355,(8 [53] 7)  (9 [51] 6)  (11 [?] 12),112,139,129,124,143,C,The rule is: multiply the numbers and subtract 3. Check Example 1: (8 * 7) - 3 = 53. Check Example 2: (9 * 6) - 3 = 51. Apply to Question: (11 * 12) - 3 = 129.,3
356,(5 [29] 4)  (8 [66] 2)  (7 [?] 6),62,55,54,66,45,B,The rule is: square the left number and add the right number. Check Example 1: (5² + 4) = 29. Check Example 2: (8² + 2) = 66. Apply to Question: (7² + 6) = 55.,3
357,(5 [31] 6)  (8 [71] 7)  (2 [?] 8),13,12,9,17,14,B,The rule is: square the left number and add the right number. Check Example 1: (5² + 6) = 31. Check Example 2: (8² + 7) = 71. Apply to Question: (2² + 8) = 12.,3
358,(12 [44] 10)  (5 [14] 2)  (9 [?] 13),44,34,46,51,42,A,The rule is: add the numbers and multiply the result by 2. Check Example 1: (12 + 10) * 2 = 44. Check Example 2: (5 + 2) * 2 = 14. Apply to Question: (9 + 13) * 2 = 44.,3
359,(9 [15] 12)  (11 [23] 10)  (10 [?] 9),21,31,22,25,20,A,The rule is: multiply the left number by 3 and subtract the right. Check Example 1: (3 * 9) - 12 = 15. Check Example 2: (3 * 11) - 10 = 23. Apply to Question: (3 * 10) - 9 = 21.,3
360,(3 [2] 7)  (4 [10] 2)  (4 [?] 5),8,9,7,12,17,C,The rule is: multiply the left number by 3 and subtract the right. Check Example 1: (3 * 3) - 7 = 2. Check Example 2: (3 * 4) - 2 = 10. Apply to Question: (3 * 4) - 5 = 7.,3
361,(5 [40] 15)  (10 [28] 4)  (12 [?] 2),33,23,38,28,27,D,The rule is: add the numbers and multiply the result by 2. Check Example 1: (5 + 15) * 2 = 40. Check Example 2: (10 + 4) * 2 = 28. Apply to Question: (12 + 2) * 2 = 28.,3
362,(4 [6] 6)  (5 [7] 8)  (11 [?] 2),32,34,31,21,36,C,The rule is: multiply the left number by 3 and subtract the right. Check Example 1: (3 * 4) - 6 = 6. Check Example 2: (3 * 5) - 8 = 7. Apply to Question: (3 * 11) - 2 = 31.,3
363,(12 [33] 3)  (12 [105] 9)  (4 [?] 8),29,31,28,30,34,A,The rule is: multiply the numbers and subtract 3. Check Example 1: (12 * 3) - 3 = 33. Check Example 2: (12 * 9) - 3 = 105. Apply to Question: (4 * 8) - 3 = 29.,3
364,(10 [47] 5)  (10 [107] 11)  (6 [?] 3),5,13,17,12,15,E,The rule is: multiply the numbers and subtract 3. Check Example 1: (10 * 5) - 3 = 47. Check Example 2: (10 * 11) - 3 = 107. Apply to Question: (6 * 3) - 3 = 15.,3
365,(8 [68] 4)  (9 [86] 5)  (5 [?] 7),33,34,32,30,31,C,The rule is: square the left number and add the right number. Check Example 1: (8² + 4) = 68. Check Example 2: (9² + 5) = 86. Apply to Question: (5² + 7) = 32.,3
366,(4 [22] 7)  (9 [40] 11)  (2 [?] 12),29,30,26,28,27,D,The rule is: add the numbers and multiply the result by 2. Check Example 1: (4 + 7) * 2 = 22. Check Example 2: (9 + 11) * 2 = 40. Apply to Question: (2 + 12) * 2 = 28.,3
367,(9 [38] 10)  (14 [42] 7)  (8 [?] 10),26,36,37,46,43,B,The rule is: add the numbers and multiply the result by 2. Check Example 1: (9 + 10) * 2 = 38. Check Example 2: (14 + 7) * 2 = 42. Apply to Question: (8 + 10) * 2 = 36.,3
368,(15 [34] 2)  (13 [56] 15)  (12 [?] 9),42,40,43,32,47,A,The rule is: add the numbers and multiply the result by 2. Check Example 1: (15 + 2) * 2 = 34. Check Example 2: (13 + 15) * 2 = 56. Apply to Question: (12 + 9) * 2 = 42.,3
369,(5 [8] 7)  (11 [23] 10)  (7 [?] 5),17,13,15,16,18,D,The rule is: multiply the left number by 3 and subtract the right. Check Example 1: (3 * 5) - 7 = 8. Check Example 2: (3 * 11) - 10 = 23. Apply to Question: (3 * 7) - 5 = 16.,3
370,(6 [27] 5)  (7 [67] 10)  (5 [?] 6),30,26,29,27,25,D,The rule is: multiply the numbers and subtract 3. Check Example 1: (6 * 5) - 3 = 27. Check Example 2: (7 * 10) - 3 = 67. Apply to Question: (5 * 6) - 3 = 27.,3
371,(2 [22] 9)  (14 [38] 5)  (7 [?] 10),39,35,32,36,34,E,The rule is: add the numbers and multiply the result by 2. Check Example 1: (2 + 9) * 2 = 22. Check Example 2: (14 + 5) * 2 = 38. Apply to Question: (7 + 10) * 2 = 34.,3
372,(3 [14] 4)  (15 [38] 4)  (3 [?] 6),28,20,8,18,15,D,The rule is: add the numbers and multiply the result by 2. Check Example 1: (3 + 4) * 2 = 14. Check Example 2: (15 + 4) * 2 = 38. Apply to Question: (3 + 6) * 2 = 18.,3
373,(12 [32] 4)  (7 [12] 9)  (9 [?] 12),14,12,17,15,5,D,The rule is: multiply the left number by 3 and subtract the right. Check Example 1: (3 * 12) - 4 = 32. Check Example 2: (3 * 7) - 9 = 12. Apply to Question: (3 * 9) - 12 = 15.,3
374,(9 [33] 4)  (8 [85] 11)  (12 [?] 11),110,107,134,148,129,E,The rule is: multiply the numbers and subtract 3. Check Example 1: (9 * 4) - 3 = 33. Check Example 2: (8 * 11) - 3 = 85. Apply to Question: (12 * 11) - 3 = 129.,3
375,(2 [10] 6)  (6 [43] 7)  (6 [?] 4),38,30,39,35,40,E,The rule is: square the left number and add the right number. Check Example 1: (2² + 6) = 10. Check Example 2: (6² + 7) = 43. Apply to Question: (6² + 4) = 40.,3
376,(8 [70] 6)  (4 [23] 7)  (4 [?] 3),24,20,29,17,19,E,The rule is: square the left number and add the right number. Check Example 1: (8² + 6) = 70. Check Example 2: (4² + 7) = 23. Apply to Question: (4² + 3) = 19.,3
377,(8 [73] 9)  (4 [25] 9)  (7 [?] 5),54,52,53,55,64,A,The rule is: square the left number and add the right number. Check Example 1: (8² + 9) = 73. Check Example 2: (4² + 9) = 25. Apply to Question: (7² + 5) = 54.,3
378,(2 [8] 4)  (3 [11] 2)  (9 [?] 7),76,86,79,98,88,E,The rule is: square the left number and add the right number. Check Example 1: (2² + 4) = 8. Check Example 2: (3² + 2) = 11. Apply to Question: (9² + 7) = 88.,3
379,(9 [21] 6)  (7 [12] 9)  (6 [?] 5),10,13,11,14,18,B,The rule is: multiply the left number by 3 and subtract the right. Check Example 1: (3 * 9) - 6 = 21. Check Example 2: (3 * 7) - 9 = 12. Apply to Question: (3 * 6) - 5 = 13.,3
380,(6 [41] 5)  (2 [12] 8)  (3 [?] 2),10,14,13,11,16,D,The rule is: square the left number and add the right number. Check Example 1: (6² + 5) = 41. Check Example 2: (2² + 8) = 12. Apply to Question: (3² + 2) = 11.,3
381,(9 [69] 8)  (4 [25] 7)  (11 [?] 8),95,83,85,90,86,C,The rule is: multiply the numbers and subtract 3. Check Example 1: (9 * 8) - 3 = 69. Check Example 2: (4 * 7) - 3 = 25. Apply to Question: (11 * 8) - 3 = 85.,3
382,(7 [38] 12)  (11 [50] 14)  (8 [?] 9),37,36,28,34,33,D,The rule is: add the numbers and multiply the result by 2. Check Example 1: (7 + 12) * 2 = 38. Check Example 2: (11 + 14) * 2 = 50. Apply to Question: (8 + 9) * 2 = 34.,3
383,(9 [96] 11)  (12 [33] 3)  (11 [?] 10),109,107,120,100,117,B,The rule is: multiply the numbers and subtract 3. Check Example 1: (9 * 11) - 3 = 96. Check Example 2: (12 * 3) - 3 = 33. Apply to Question: (11 * 10) - 3 = 107.,3
384,(5 [7] 8)  (7 [10] 11)  (9 [?] 7),16,19,20,25,18,C,The rule is: multiply the left number by 3 and subtract the right. Check Example 1: (3 * 5) - 8 = 7. Check Example 2: (3 * 7) - 11 = 10. Apply to Question: (3 * 9) - 7 = 20.,3
385,(8 [40] 12)  (8 [26] 5)  (15 [?] 5),37,38,45,40,39,D,The rule is: add the numbers and multiply the result by 2. Check Example 1: (8 + 12) * 2 = 40. Check Example 2: (8 + 5) * 2 = 26. Apply to Question: (15 + 5) * 2 = 40.,3
386,(8 [70] 6)  (8 [68] 4)  (2 [?] 9),12,15,13,10,11,C,The rule is: square the left number and add the right number. Check Example 1: (8² + 6) = 70. Check Example 2: (8² + 4) = 68. Apply to Question: (2² + 9) = 13.,3
387,(9 [24] 3)  (12 [50] 13)  (3 [?] 10),24,30,16,31,26,E,The rule is: add the numbers and multiply the result by 2. Check Example 1: (9 + 3) * 2 = 24. Check Example 2: (12 + 13) * 2 = 50. Apply to Question: (3 + 10) * 2 = 26.,3
388,(9 [42] 5)  (9 [69] 8)  (7 [?] 12),81,76,86,82,83,A,The rule is: multiply the numbers and subtract 3. Check Example 1: (9 * 5) - 3 = 42. Check Example 2: (9 * 8) - 3 = 69. Apply to Question: (7 * 12) - 3 = 81.,3
389,(8 [85] 11)  (9 [51] 6)  (11 [?] 3),35,33,30,32,24,C,The rule is: multiply the numbers and subtract 3. Check Example 1: (8 * 11) - 3 = 85. Check Example 2: (9 * 6) - 3 = 51. Apply to Question: (11 * 3) - 3 = 30.,3
390,(7 [39] 6)  (6 [27] 5)  (8 [?] 5),43,35,27,39,37,E,The rule is: multiply the numbers and subtract 3. Check Example 1: (7 * 6) - 3 = 39. Check Example 2: (6 * 5) - 3 = 27. Apply to Question: (8 * 5) - 3 = 37.,3
391,(12 [54] 15)  (6 [22] 5)  (14 [?] 15),60,63,67,58,68,D,The rule is: add the numbers and multiply the result by 2. Check Example 1: (12 + 15) * 2 = 54. Check Example 2: (6 + 5) * 2 = 22. Apply to Question: (14 + 15) * 2 = 58.,3
392,(6 [38] 13)  (5 [36] 13)  (5 [?] 3),19,16,6,15,13,B,The rule is: add the numbers and multiply the result by 2. Check Example 1: (6 + 13) * 2 = 38. Check Example 2: (5 + 13) * 2 = 36. Apply to Question: (5 + 3) * 2 = 16.,3
393,(8 [70] 6)  (5 [32] 7)  (3 [?] 6),25,15,12,14,20,B,The rule is: square the left number and add the right number. Check Example 1: (8² + 6) = 70. Check Example 2: (5² + 7) = 32. Apply to Question: (3² + 6) = 15.,3
394,(8 [22] 2)  (10 [26] 4)  (12 [?] 11),30,27,28,25,24,D,The rule is: multiply the left number by 3 and subtract the right. Check Example 1: (3 * 8) - 2 = 22. Check Example 2: (3 * 10) - 4 = 26. Apply to Question: (3 * 12) - 11 = 25.,3
395,(6 [38] 2)  (3 [11] 2)  (5 [?] 8),38,31,36,33,35,D,The rule is: square the left number and add the right number. Check Example 1: (6² + 2) = 38. Check Example 2: (3² + 2) = 11. Apply to Question: (5² + 8) = 33.,3
396,(9 [105] 12)  (5 [47] 10)  (6 [?] 5),26,27,25,29,32,B,The rule is: multiply the numbers and subtract 3. Check Example 1: (9 * 12) - 3 = 105. Check Example 2: (5 * 10) - 3 = 47. Apply to Question: (6 * 5) - 3 = 27.,3
397,(4 [2] 10)  (6 [14] 4)  (3 [?] 5),9,14,3,5,4,E,The rule is: multiply the left number by 3 and subtract the right. Check Example 1: (3 * 4) - 10 = 2. Check Example 2: (3 * 6) - 4 = 14. Apply to Question: (3 * 3) - 5 = 4.,3
398,(5 [27] 2)  (8 [67] 3)  (2 [?] 7),9,1,13,16,11,E,The rule is: square the left number and add the right number. Check Example 1: (5² + 2) = 27. Check Example 2: (8² + 3) = 67. Apply to Question: (2² + 7) = 11.,3
399,(12 [129] 11)  (6 [57] 10)  (4 [?] 10),42,37,47,36,39,B,The rule is: multiply the numbers and subtract 3. Check Example 1: (12 * 11) - 3 = 129. Check Example 2: (6 * 10) - 3 = 57. Apply to Question: (4 * 10) - 3 = 37.,3
400,(10 [77] 8)  (9 [42] 5)  (5 [?] 7),36,33,32,34,31,C,The rule is: multiply the numbers and subtract 3. Check Example 1: (10 * 8) - 3 = 77. Check Example 2: (9 * 5) - 3 = 42. Apply to Question: (5 * 7) - 3 = 32.,3
401,(11 [74] 7)  (7 [81] 12)  (12 [?] 10),118,116,119,117,132,D,The rule is: multiply the numbers and subtract 3. Check Example 1: (11 * 7) - 3 = 74. Check Example 2: (7 * 12) - 3 = 81. Apply to Question: (12 * 10) - 3 = 117.,3
402,(7 [55] 6)  (4 [25] 9)  (9 [?] 4),76,85,95,81,75,B,The rule is: square the left number and add the right number. Check Example 1: (7² + 6) = 55. Check Example 2: (4² + 9) = 25. Apply to Question: (9² + 4) = 85.,3
403,(8 [36] 10)  (15 [52] 11)  (8 [?] 13),42,52,39,40,43,A,The rule is: add the numbers and multiply the result by 2. Check Example 1: (8 + 10) * 2 = 36. Check Example 2: (15 + 11) * 2 = 52. Apply to Question: (8 + 13) * 2 = 42.,3
404,(11 [129] 12)  (5 [27] 6)  (6 [?] 4),21,23,20,17,31,A,The rule is: multiply the numbers and subtract 3. Check Example 1: (11 * 12) - 3 = 129. Check Example 2: (5 * 6) - 3 = 27. Apply to Question: (6 * 4) - 3 = 21.,3
405,(2 [12] 8)  (4 [23] 7)  (6 [?] 3),37,29,49,39,41,D,The rule is: square the left number and add the right number. Check Example 1: (2² + 8) = 12. Check Example 2: (4² + 7) = 23. Apply to Question: (6² + 3) = 39.,3
406,(9 [88] 7)  (6 [39] 3)  (5 [?] 6),29,25,41,31,36,D,The rule is: square the left number and add the right number. Check Example 1: (9² + 7) = 88. Check Example 2: (6² + 3) = 39. Apply to Question: (5² + 6) = 31.,3
407,(4 [5] 7)  (8 [12] 12)  (9 [?] 2),35,26,25,27,21,C,The rule is: multiply the left number by 3 and subtract the right. Check Example 1: (3 * 4) - 7 = 5. Check Example 2: (3 * 8) - 12 = 12. Apply to Question: (3 * 9) - 2 = 25.,3
408,(6 [26] 7)  (12 [42] 9)  (9 [?] 15),44,38,50,48,47,D,The rule is: add the numbers and multiply the result by 2. Check Example 1: (6 + 7) * 2 = 26. Check Example 2: (12 + 9) * 2 = 42. Apply to Question: (9 + 15) * 2 = 48.,3
409,(4 [10] 2)  (11 [26] 7)  (5 [?] 12),2,3,13,4,5,B,The rule is: multiply the left number by 3 and subtract the right. Check Example 1: (3 * 4) - 2 = 10. Check Example 2: (3 * 11) - 7 = 26. Apply to Question: (3 * 5) - 12 = 3.,3
410,(7 [18] 3)  (7 [9] 12)  (7 [?] 5),15,19,14,16,17,D,The rule is: multiply the left number by 3 and subtract the right. Check Example 1: (3 * 7) - 3 = 18. Check Example 2: (3 * 7) - 12 = 9. Apply to Question: (3 * 7) - 5 = 16.,3
411,(11 [25] 8)  (8 [12] 12)  (5 [?] 9),8,3,7,4,6,E,The rule is: multiply the left number by 3 and subtract the right. Check Example 1: (3 * 11) - 8 = 25. Check Example 2: (3 * 8) - 12 = 12. Apply to Question: (3 * 5) - 9 = 6.,3
412,(12 [81] 7)  (8 [45] 6)  (5 [?] 3),12,22,17,13,15,A,The rule is: multiply the numbers and subtract 3. Check Example 1: (12 * 7) - 3 = 81. Check Example 2: (8 * 6) - 3 = 45. Apply to Question: (5 * 3) - 3 = 12.,3
413,(3 [13] 4)  (3 [16] 7)  (9 [?] 7),76,90,104,89,88,E,The rule is: square the left number and add the right number. Check Example 1: (3² + 4) = 13. Check Example 2: (3² + 7) = 16. Apply to Question: (9² + 7) = 88.,3
414,(3 [10] 2)  (10 [44] 12)  (15 [?] 10),60,55,40,50,56,D,The rule is: add the numbers and multiply the result by 2. Check Example 1: (3 + 2) * 2 = 10. Check Example 2: (10 + 12) * 2 = 44. Apply to Question: (15 + 10) * 2 = 50.,3
415,(5 [27] 2)  (2 [8] 4)  (6 [?] 9),47,54,55,37,45,E,The rule is: square the left number and add the right number. Check Example 1: (5² + 2) = 27. Check Example 2: (2² + 4) = 8. Apply to Question: (6² + 9) = 45.,3
416,(3 [18] 7)  (7 [32] 5)  (7 [?] 10),67,65,72,66,77,A,The rule is: multiply the numbers and subtract 3. Check Example 1: (3 * 7) - 3 = 18. Check Example 2: (7 * 5) - 3 = 32. Apply to Question: (7 * 10) - 3 = 67.,3
417,(9 [24] 3)  (11 [29] 4)  (8 [?] 10),19,14,16,13,12,B,The rule is: multiply the left number by 3 and subtract the right. Check Example 1: (3 * 9) - 3 = 24. Check Example 2: (3 * 11) - 4 = 29. Apply to Question: (3 * 8) - 10 = 14.,3
418,(3 [18] 9)  (8 [70] 6)  (4 [?] 9),24,25,26,28,21,B,The rule is: square the left number and add the right number. Check Example 1: (3² + 9) = 18. Check Example 2: (8² + 6) = 70. Apply to Question: (4² + 9) = 25.,3
419,(7 [15] 6)  (2 [3] 3)  (5 [?] 3),13,22,14,10,12,E,The rule is: multiply the left number by 3 and subtract the right. Check Example 1: (3 * 7) - 6 = 15. Check Example 2: (3 * 2) - 3 = 3. Apply to Question: (3 * 5) - 3 = 12.,3
420,(5 [34] 9)  (3 [17] 8)  (5 [?] 4),34,29,31,24,19,B,The rule is: square the left number and add the right number. Check Example 1: (5² + 9) = 34. Check Example 2: (3² + 8) = 17. Apply to Question: (5² + 4) = 29.,3
421,(11 [129] 12)  (8 [85] 11)  (12 [?] 10),117,129,111,134,136,A,The rule is: multiply the numbers and subtract 3. Check Example 1: (11 * 12) - 3 = 129. Check Example 2: (8 * 11) - 3 = 85. Apply to Question: (12 * 10) - 3 = 117.,3
422,(4 [9] 3)  (4 [9] 3)  (9 [?] 4),28,32,33,35,29,C,The rule is: multiply the numbers and subtract 3. Check Example 1: (4 * 3) - 3 = 9. Check Example 2: (4 * 3) - 3 = 9. Apply to Question: (9 * 4) - 3 = 33.,3
423,(6 [28] 8)  (8 [40] 12)  (9 [?] 13),45,46,44,43,49,C,The rule is: add the numbers and multiply the result by 2. Check Example 1: (6 + 8) * 2 = 28. Check Example 2: (8 + 12) * 2 = 40. Apply to Question: (9 + 13) * 2 = 44.,3
424,(11 [32] 5)  (14 [38] 5)  (4 [?] 9),28,23,26,29,25,C,The rule is: add the numbers and multiply the result by 2. Check Example 1: (11 + 5) * 2 = 32. Check Example 2: (14 + 5) * 2 = 38. Apply to Question: (4 + 9) * 2 = 26.,3
425,(9 [87] 6)  (2 [8] 4)  (2 [?] 3),12,8,6,7,4,D,The rule is: square the left number and add the right number. Check Example 1: (9² + 6) = 87. Check Example 2: (2² + 4) = 8. Apply to Question: (2² + 3) = 7.,3
426,(2 [3] 3)  (7 [13] 8)  (7 [?] 11),12,9,10,13,7,C,The rule is: multiply the left number by 3 and subtract the right. Check Example 1: (3 * 2) - 3 = 3. Check Example 2: (3 * 7) - 8 = 13. Apply to Question: (3 * 7) - 11 = 10.,3
427,(7 [60] 9)  (9 [87] 10)  (10 [?] 4),35,44,40,37,34,D,The rule is: multiply the numbers and subtract 3. Check Example 1: (7 * 9) - 3 = 60. Check Example 2: (9 * 10) - 3 = 87. Apply to Question: (10 * 4) - 3 = 37.,3
428,(7 [58] 9)  (5 [33] 8)  (3 [?] 7),26,17,15,16,18,D,The rule is: square the left number and add the right number. Check Example 1: (7² + 9) = 58. Check Example 2: (5² + 8) = 33. Apply to Question: (3² + 7) = 16.,3
429,(9 [22] 5)  (12 [31] 5)  (12 [?] 3),27,33,35,23,30,B,The rule is: multiply the left number by 3 and subtract the right. Check Example 1: (3 * 9) - 5 = 22. Check Example 2: (3 * 12) - 5 = 31. Apply to Question: (3 * 12) - 3 = 33.,3
430,(2 [3] 3)  (11 [23] 10)  (6 [?] 7),12,11,1,9,10,B,The rule is: multiply the left number by 3 and subtract the right. Check Example 1: (3 * 2) - 3 = 3. Check Example 2: (3 * 11) - 10 = 23. Apply to Question: (3 * 6) - 7 = 11.,3
431,(4 [45] 12)  (10 [77] 8)  (6 [?] 5),27,28,37,32,29,A,The rule is: multiply the numbers and subtract 3. Check Example 1: (4 * 12) - 3 = 45. Check Example 2: (10 * 8) - 3 = 77. Apply to Question: (6 * 5) - 3 = 27.,3
432,(7 [18] 3)  (6 [45] 8)  (11 [?] 7),78,72,74,64,79,C,The rule is: multiply the numbers and subtract 3. Check Example 1: (7 * 3) - 3 = 18. Check Example 2: (6 * 8) - 3 = 45. Apply to Question: (11 * 7) - 3 = 74.,3
433,(8 [69] 5)  (2 [11] 7)  (9 [?] 8),88,74,94,79,89,E,The rule is: square the left number and add the right number. Check Example 1: (8² + 5) = 69. Check Example 2: (2² + 7) = 11. Apply to Question: (9² + 8) = 89.,3
434,(14 [52] 12)  (12 [52] 14)  (11 [?] 3),27,29,33,24,28,E,The rule is: add the numbers and multiply the result by 2. Check Example 1: (14 + 12) * 2 = 52. Check Example 2: (12 + 14) * 2 = 52. Apply to Question: (11 + 3) * 2 = 28.,3
435,(4 [18] 2)  (9 [86] 5)  (7 [?] 6),55,45,60,54,57,A,The rule is: square the left number and add the right number. Check Example 1: (4² + 2) = 18. Check Example 2: (9² + 5) = 86. Apply to Question: (7² + 6) = 55.,3
436,(11 [96] 9)  (8 [37] 5)  (8 [?] 3),19,20,21,23,11,C,The rule is: multiply the numbers and subtract 3. Check Example 1: (11 * 9) - 3 = 96. Check Example 2: (8 * 5) - 3 = 37. Apply to Question: (8 * 3) - 3 = 21.,3
437,(9 [20] 7)  (4 [5] 7)  (7 [?] 12),8,11,12,9,7,D,The rule is: multiply the left number by 3 and subtract the right. Check Example 1: (3 * 9) - 7 = 20. Check Example 2: (3 * 4) - 7 = 5. Apply to Question: (3 * 7) - 12 = 9.,3
438,(9 [51] 6)  (8 [45] 6)  (12 [?] 4),40,50,44,45,47,D,The rule is: multiply the numbers and subtract 3. Check Example 1: (9 * 6) - 3 = 51. Check Example 2: (8 * 6) - 3 = 45. Apply to Question: (12 * 4) - 3 = 45.,3
439,(14 [58] 15)  (10 [50] 15)  (10 [?] 14),49,54,47,48,50,D,The rule is: add the numbers and multiply the result by 2. Check Example 1: (14 + 15) * 2 = 58. Check Example 2: (10 + 15) * 2 = 50. Apply to Question: (10 + 14) * 2 = 48.,3
440,(5 [34] 9)  (2 [13] 9)  (7 [?] 3),52,62,49,48,54,A,The rule is: square the left number and add the right number. Check Example 1: (5² + 9) = 34. Check Example 2: (2² + 9) = 13. Apply to Question: (7² + 3) = 52.,3
441,(9 [19] 8)  (5 [9] 6)  (7 [?] 2),9,19,16,18,20,B,The rule is: multiply the left number by 3 and subtract the right. Check Example 1: (3 * 9) - 8 = 19. Check Example 2: (3 * 5) - 6 = 9. Apply to Question: (3 * 7) - 2 = 19.,3
442,(4 [29] 8)  (3 [21] 8)  (4 [?] 11),41,46,43,40,31,A,The rule is: multiply the numbers and subtract 3. Check Example 1: (4 * 8) - 3 = 29. Check Example 2: (3 * 8) - 3 = 21. Apply to Question: (4 * 11) - 3 = 41.,3
443,(12 [57] 5)  (3 [33] 12)  (9 [?] 10),87,80,83,86,92,A,The rule is: multiply the numbers and subtract 3. Check Example 1: (12 * 5) - 3 = 57. Check Example 2: (3 * 12) - 3 = 33. Apply to Question: (9 * 10) - 3 = 87.,3
444,(4 [3] 9)  (11 [28] 5)  (6 [?] 10),18,7,8,11,5,C,The rule is: multiply the left number by 3 and subtract the right. Check Example 1: (3 * 4) - 9 = 3. Check Example 2: (3 * 11) - 5 = 28. Apply to Question: (3 * 6) - 10 = 8.,3
