ID,Question,A,B,C,D,E,Correct Answer,Explanation
M3L_NEW_383,Uni STUD.,ATE,PAT,SET,WAY,ENT,E,The missing letters are ENT (STUDENT).
M3L_NEW_384,Kind TEAR.,MOO,CHE,EEL,CAT,MY,B,The missing letters are CHE (TEACHER).
M3L_NEW_385,Head TER.,EYE,ZOO,EVE,MAS,MAY,D,The missing letters are MAS (MASTER).
M3L_NEW_386,My D.,HEA,MAY,ADO,JAG,RED,A,The missing letters are HEA (HEAD).
M3L_NEW_387,My Y.,SIT,BOD,OUT,NAG,ALL,B,The missing letters are BOD (BODY).
M3L_NEW_388,My T.,ACT,OWL,ATE,BAG,FOO,E,The missing letters are FOO (FOOT).
M3L_NEW_389,My H.,HIT,URN,ALL,KAY,AND,E,The missing letters are AND (HAND).
M3L_NEW_390,My FER.,ING,GET,AIM,PIT,LIT,A,The missing letters are ING (FINGER).
M3L_NEW_391,My TB.,HUM,ACE,RED,NEW,CAN,A,The missing letters are HUM (THUMB).
M3L_NEW_392,Bony KNLE.,ALL,MET,COT,UCK,SKY,D,The missing letters are UCK (KNUCKLE).
M3L_NEW_393,My ST.,VET,WRI,ORB,ODD,KIT,B,The missing letters are WRI (WRIST).
M3L_NEW_394,My EL.,LIT,BOW,DAY,AID,ZOO,B,The missing letters are BOW (ELBOW).
M3L_NEW_395,My SHOUR.,LDE,DOT,PAT,ADO,AID,A,The missing letters are LDE (SHOULDER).
M3L_NEW_396,My K.,SAD,SPY,FAT,NEC,INN,D,The missing letters are NEC (NECK).
M3L_NEW_397,My C.,POT,HIT,WHY,HIN,LAD,D,The missing letters are HIN (CHIN).
M3L_NEW_398,Rosy EK.,RAG,COO,LIT,OAT,CHE,E,The missing letters are CHE (CHEEK).
M3L_NEW_399,My N.,TAD,PET,OSE,RUN,AID,C,The missing letters are OSE (NOSE).
M3L_NEW_400,My H.,BEE,TAD,EST,BOO,AIR,E,The missing letters are AIR (HAIR).
M3L_NEW_401,Boil in a SAUCE.,WAY,BIT,PAN,OUT,MAG,C,The missing letters are PAN (SAUCEPAN).
M3L_NEW_402,Cook in a FRYING.,ZOO,DOT,PAN,MAT,SAT,C,The missing letters are PAN (FRYINGPAN).
M3L_NEW_403,Make toast in STER.,PAT,TOA,ASK,VET,CAT,B,The missing letters are TOA (TOASTER).
M3L_NEW_404,Heat in the ROWAVE.,WEE,MAN,MIC,OUS,ASH,C,The missing letters are MIC (MICROWAVE).
M3L_NEW_405,Mix in the BDER.,ONE,BAD,WET,LEN,ARM,D,The missing letters are LEN (BLENDER).
M3L_NEW_406,Cheese GER.,PAT,RAT,INK,LEE,LAD,B,The missing letters are RAT (GRATER).
M3L_NEW_407,Potato PER.,OUR,URN,EEL,GAG,JET,C,The missing letters are EEL (PEELER).
M3L_NEW_408,Beat eggs with WK.,AID,GAY,HIS,ICE,WIT,C,The missing letters are HIS (WHISK).
M3L_NEW_409,Eat with a SN.,FAD,EYE,ARM,OFF,POO,E,The missing letters are POO (SPOON).
M3L_NEW_410,Eat with a F.,ORK,JET,LIT,CAT,TAG,A,The missing letters are ORK (FORK).
M3L_NEW_411,Cut with a KN.,FIT,SIT,ARK,IFE,NAY,D,The missing letters are IFE (KNIFE).
M3L_NEW_412,Dinner PL.,SEE,LAY,BIT,COT,ATE,E,The missing letters are ATE (PLATE).
M3L_NEW_413,Cereal L.,KIT,BOW,SAD,PAD,EGG,B,The missing letters are BOW (BOWL).
M3L_NEW_414,Soap H.,FAD,URN,OUS,ATE,DIS,E,The missing letters are DIS (DISH).
M3L_NEW_415,Drink from a SS.,OFF,IVE,GLA,LEE,SHY,C,The missing letters are GLA (GLASS).
M3L_NEW_416,Boil the TLE.,IVE,ACE,WIT,KET,ING,D,The missing letters are KET (KETTLE).
M3L_NEW_417,Cold FGE.,RID,RAG,JAY,ENT,ORB,A,The missing letters are RID (FRIDGE).
M3L_NEW_418,Ice FRER.,EZE,TAD,EYE,MOO,FLY,A,The missing letters are EZE (FREEZER).
M3L_NEW_419,Hot N.,COO,SAT,HAT,OVE,LEE,D,The missing letters are OVE (OVEN).
M3L_NEW_420,Electric KER.,DOG,EEL,HAY,COO,CRY,D,The missing letters are COO (COOKER).
M3L_NEW_421,Store in CUPBO.,GAY,SUN,ARD,ENT,LOO,C,The missing letters are ARD (CUPBOARD).
M3L_NEW_422,Cutlery DER.,HAD,OUT,SHY,RAW,EYE,D,The missing letters are RAW (DRAWER).
M3L_NEW_423,Wash in S.,MET,TRY,INK,TOO,ART,C,The missing letters are INK (SINK).
M3L_NEW_424,Dish TH.,CLO,PIT,LOO,ALL,SHY,A,The missing letters are CLO (CLOTH).
M3L_NEW_425,Tea TO.,WEL,SKY,OPT,AND,SPY,A,The missing letters are WEL (TOWEL).
M3L_NEW_426,Wash with NGE.,SPO,CAT,SAY,IVY,CAN,A,The missing letters are SPO (SPONGE).
M3L_NEW_427,Washing up UID.,LIQ,MAD,GAG,TION,LOO,A,The missing letters are LIQ (LIQUID).
M3L_NEW_428,Washing PER.,ORB,YET,EYE,OWD,GET,D,The missing letters are OWD (POWDER).
M3L_NEW_429,Laundry BAT.,NAY,ROT,FIT,SKE,URN,D,The missing letters are SKE (BASKET).
M3L_NEW_430,Mop and BUC.,EAR,TOP,OAT,POT,KET,E,The missing letters are KET (BUCKET).
M3L_NEW_431,Sweep with OM.,SAY,TAG,IVY,BRO,CAN,D,The missing letters are BRO (BROOM).
M3L_NEW_432,Scrubbing SH.,BRU,DOT,PAY,OUR,VET,A,The missing letters are BRU (BRUSH).
M3L_NEW_433,Feather DER.,TION,HAG,DAD,BIG,UST,E,The missing letters are UST (DUSTER).
M3L_NEW_434,Clean with VAM.,LAG,HIT,CUU,SAG,MY,C,The missing letters are CUU (VACUUM).
M3L_NEW_435,Vacuum CLER.,HOT,ONE,ANE,ATE,OAR,C,The missing letters are ANE (CLEANER).
M3L_NEW_436,Press with N.,IRO,EAT,DAD,LOT,OAR,A,The missing letters are IRO (IRON).
M3L_NEW_437,Ironing RD.,WAY,OUT,ILL,BOA,MAY,D,The missing letters are BOA (BOARD).
M3L_NEW_438,Bed ST.,MOO,MAD,HEE,ASK,BOX,C,The missing letters are HEE (SHEET).
M3L_NEW_439,Wool BLAN.,FOX,DOG,KET,ART,PAT,C,The missing letters are KET (BLANKET).
M3L_NEW_440,Soft PIL.,BAG,WIT,WEE,LOW,SAD,D,The missing letters are LOW (PILLOW).
M3L_NEW_441,Warm DU.,TOY,GAG,FAD,JET,VET,E,The missing letters are VET (DUVET).
M3L_NEW_442,Sleep on MRESS.,OFF,BAY,INN,DOG,ATT,E,The missing letters are ATT (MATTRESS).
M3L_NEW_443,Cover the BEREAD.,TOP,DSP,WET,HOT,EST,B,The missing letters are DSP (BEDSPREAD).
M3L_NEW_444,Patchwork QU.,ILT,PAY,RAT,ORE,BIG,A,The missing letters are ILT (QUILT).
M3L_NEW_445,Wall to wall CAR.,PET,RAD,BEE,AGE,SAY,A,The missing letters are PET (CARPET).
M3L_NEW_446,Draw the CUIN.,LOO,TAG,OFF,HIT,RTA,E,The missing letters are RTA (CURTAIN).
M3L_NEW_447,Window ND.,SKY,THY,BLI,THE,EAT,C,The missing letters are BLI (BLIND).
M3L_NEW_448,Close the STER.,HUT,JAY,BAY,IRE,WET,A,The missing letters are HUT (SHUTTER).
M3L_NEW_449,Table P.,LEE,FOR,ADD,EAT,LAM,E,The missing letters are LAM (LAMP).
M3L_NEW_450,Ceiling LI.,ODD,BIT,BOX,GHT,WIT,D,The missing letters are GHT (LIGHT).
M3L_NEW_451,Lamp DE.,SHA,MAD,RAT,ILL,ASH,A,The missing letters are SHA (SHADE).
M3L_NEW_452,Light B.,ONE,ULB,RAD,OWN,LOT,B,The missing letters are ULB (BULB).
M3L_NEW_453,Light SCH.,FOX,DAD,CRY,WIT,AIR,D,The missing letters are WIT (SWITCH).
M3L_NEW_454,Plug SET.,SPY,BAY,BAT,OCK,EGO,D,The missing letters are OCK (SOCKET).
M3L_NEW_455,Electric G.,GAY,HIT,PLU,OIL,MAG,C,The missing letters are PLU (PLUG).
M3L_NEW_456,Copper W.,MAG,FRY,OUT,TAD,IRE,E,The missing letters are IRE (WIRE).
M3L_NEW_457,Blown E.,KAY,FUS,LAD,AID,OWL,B,The missing letters are FUS (FUSE).
M3L_NEW_458,Double A BARY.,SAT,TTE,ACE,ONE,NOT,B,The missing letters are TTE (BATTERY).
M3L_NEW_459,Wall CL.,ENT,OCK,OFF,ODD,EVE,B,The missing letters are OCK (CLOCK).
M3L_NEW_460,Fire AM.,LAR,OUR,BOX,WEE,EST,A,The missing letters are LAR (ALARM).
M3L_NEW_461,Listen to IO.,ENT,BAY,EGG,SUN,RAD,E,The missing letters are RAD (RADIO).
M3L_NEW_462,Watch TEISION.,BEE,ROT,CAD,LEV,MOO,D,The missing letters are LEV (TELEVISION).
M3L_NEW_463,Control REE.,MOT,HAD,CRY,ONE,RUN,A,The missing letters are MOT (REMOTE).
M3L_NEW_464,Flat SCN.,HOP,REE,RAT,WEE,ACT,B,The missing letters are REE (SCREEN).
M3L_NEW_465,Play a VI.,AIR,DEO,WIT,SET,FOX,B,The missing letters are DEO (VIDEO).
M3L_NEW_466,MP3 PLR.,BIG,RAY,AYE,ARK,PAD,C,The missing letters are AYE (PLAYER).
M3L_NEW_467,Laptop COMPU.,OAT,PAY,WEE,NAG,TER,E,The missing letters are TER (COMPUTER).
M3L_NEW_468,Click the SE.,TION,ORE,MOU,COT,OIL,C,The missing letters are MOU (MOUSE).
M3L_NEW_469,Type on BOARD.,ILL,INK,KEY,HIT,COT,C,The missing letters are KEY (KEYBOARD).
M3L_NEW_470,Laser PRIR.,AIM,SUN,BET,NTE,BEE,D,The missing letters are NTE (PRINTER).
M3L_NEW_471,Document SNER.,CAN,COT,RUN,ARM,LAD,A,The missing letters are CAN (SCANNER).
M3L_NEW_472,Mobile PE.,FEE,FAT,HON,BAT,OFF,C,The missing letters are HON (PHONE).
M3L_NEW_473,Digital CAA.,OIL,MER,BAY,OUT,PET,B,The missing letters are MER (CAMERA).
M3L_NEW_474,Take a PH.,OTO,GAY,JOY,INK,IRE,A,The missing letters are OTO (PHOTO).
M3L_NEW_475,Frame the PICE.,FIT,CAN,TUR,LAG,ROT,C,The missing letters are TUR (PICTURE).
M3L_NEW_476,Photo FR.,THE,HOP,AME,OAT,WET,C,The missing letters are AME (FRAME).
M3L_NEW_477,Photo AL.,POT,ASK,BUM,WET,WIT,C,The missing letters are BUM (ALBUM).
M3L_NEW_478,Oil PAING.,RAG,PRY,EST,INT,AGE,D,The missing letters are INT (PAINTING).
M3L_NEW_479,Wall PER.,OST,YET,BIG,THE,INK,A,The missing letters are OST (POSTER).
M3L_NEW_480,Stone STA.,TUE,EAR,MET,DRY,SUN,A,The missing letters are TUE (STATUE).
M3L_NEW_481,Flower V.,ODD,ASE,BOY,WIT,SKY,B,The missing letters are ASE (VASE).
M3L_NEW_482,House PL.,PAT,ANT,TOO,OUS,ADO,B,The missing letters are ANT (PLANT).
M3L_NEW_483,Fresh WER.,FLO,BET,USE,OAR,GAG,A,The missing letters are FLO (FLOWER).
M3L_NEW_484,Light a CAN.,DLE,CAD,ORE,LOO,FAD,A,The missing letters are DLE (CANDLE).
M3L_NEW_485,Strike a CH.,MAT,RAG,CRY,RAT,LAG,A,The missing letters are MAT (MATCH).
M3L_NEW_486,Gas F.,LET,IRE,OUR,GAY,MAY,B,The missing letters are IRE (FIRE).
M3L_NEW_487,Electric HER.,ATE,WAY,BY,JAG,LAD,A,The missing letters are ATE (HEATER).
M3L_NEW_488,Hot RATOR.,MY,LET,OUS,IRE,ADI,E,The missing letters are ADI (RADIATOR).
M3L_NEW_489,Air CITIONER.,USE,DOT,URN,ONE,OND,E,The missing letters are OND (CONDITIONER).
M3L_NEW_490,Open WIN.,ARK,LAD,ING,EAT,DOW,E,The missing letters are DOW (WINDOW).
M3L_NEW_491,Shut R.,DOO,PAT,OWL,SAD,DOT,A,The missing letters are DOO (DOOR).
M3L_NEW_492,Door HAN.,ALL,BAG,DRY,OUT,DLE,E,The missing letters are DLE (HANDLE).
M3L_NEW_493,Door B.,ACT,THY,OUT,KNO,WET,D,The missing letters are KNO (KNOB).
M3L_NEW_494,Key and K.,IVY,LOC,NEW,TION,YAK,B,The missing letters are LOC (LOCK).
M3L_NEW_495,Door L.,BIG,TAG,RAY,BEL,ING,D,The missing letters are BEL (BELL).
M3L_NEW_496,Post a LER.,OAK,ORE,INK,ETT,AIR,D,The missing letters are ETT (LETTER).
M3L_NEW_497,Morning T.,HIT,YET,ALL,POS,BOX,D,The missing letters are POS (POST).
M3L_NEW_498,Junk L.,LOT,MAI,MAD,MAY,TOY,B,The missing letters are MAI (MAIL).
M3L_NEW_499,Wrap a PEL.,ARC,YAK,EST,OIL,MOO,A,The missing letters are ARC (PARCEL).
M3L_NEW_500,Heavy PACK.,SIT,WIT,FOX,AGE,PET,D,The missing letters are AGE (PACKAGE).
M3L_NEW_501,Postage ST.,BOY,TAD,HAY,EYE,AMP,E,The missing letters are AMP (STAMP).
M3L_NEW_502,Sealed ENVPE.,ELO,DAD,EST,ILL,TOO,A,The missing letters are ELO (ENVELOPE).
M3L_NEW_503,Write the ADDR.,LOO,BEE,EAR,RAT,ESS,E,The missing letters are ESS (ADDRESS).
M3L_NEW_504,Full N.,USE,ENT,MAN,PAY,AME,E,The missing letters are AME (NAME).
M3L_NEW_505,Phone NUR.,AND,OAK,MBE,JET,HIT,C,The missing letters are MBE (NUMBER).
M3L_NEW_506,High SET.,OWL,TRE,AND,LOO,THY,B,The missing letters are TRE (STREET).
M3L_NEW_507,Main R.,POT,FOR,OAD,FLY,ROT,C,The missing letters are OAD (ROAD).
M3L_NEW_508,Park AUE.,HOT,CAN,OWL,VEN,ART,D,The missing letters are VEN (AVENUE).
M3L_NEW_509,Country L.,MAY,ANE,FLY,AND,EST,B,The missing letters are ANE (LANE).
M3L_NEW_510,Private VE.,PAT,CAD,MAD,DRI,WIT,D,The missing letters are DRI (DRIVE).
M3L_NEW_511,Foot P.,EAT,SUN,ATH,KAY,TRY,C,The missing letters are ATH (PATH).
M3L_NEW_512,Side K.,WAL,MAT,BIT,MAY,SIT,A,The missing letters are WAL (WALK).
M3L_NEW_513,Walk on EMENT.,HAG,FAD,GET,SKY,PAV,E,The missing letters are PAV (PAVEMENT).
M3L_NEW_514,Step off B.,PIT,BIG,KER,MY,SAD,C,The missing letters are KER (KERB).
M3L_NEW_515,Roof GUT.,OUS,NOT,CAN,LEE,TER,E,The missing letters are TER (GUTTER).
M3L_NEW_516,Down the DR.,AIN,RAG,INK,IVY,OAR,A,The missing letters are AIN (DRAIN).
M3L_NEW_517,Water P.,IPE,FAT,JAY,ACE,NET,A,The missing letters are IPE (PIPE).
M3L_NEW_518,Inner T.,UBE,BIT,HAT,ARM,MAT,A,The missing letters are UBE (TUBE).
M3L_NEW_519,Car E.,TYR,OWL,TAG,SUN,ONE,A,The missing letters are TYR (TYRE).
M3L_NEW_520,Steering WL.,HEE,HOP,OIL,LET,LAD,A,The missing letters are HEE (WHEEL).
M3L_NEW_521,Hand KE.,ASH,URN,BRA,FEE,NOT,C,The missing letters are BRA (BRAKE).
M3L_NEW_522,Low G.,EGG,EAR,SHY,NEW,OWN,B,The missing letters are EAR (GEAR).
M3L_NEW_523,Press TCH.,CLU,DAY,RAY,JOY,ORB,A,The missing letters are CLU (CLUTCH).
M3L_NEW_524,Gas AL.,ADO,PED,VET,USE,MY,B,The missing letters are PED (PEDAL).
M3L_NEW_525,Rear view MIR.,RRO,EEL,AIR,HOT,LEE,A,The missing letters are RRO (MIRROR).
M3L_NEW_526,Windscreen WI.,JOY,BEE,RUN,PER,MET,D,The missing letters are PER (WIPER).
M3L_NEW_527,Wind EEN.,NAY,GAY,SCR,OUS,HAD,C,The missing letters are SCR (SCREEN).
M3L_NEW_528,Car BET.,BET,ONN,RAY,IVE,EYE,B,The missing letters are ONN (BONNET).
M3L_NEW_529,Car T.,RAT,BOO,MAG,FIT,BET,B,The missing letters are BOO (BOOT).
M3L_NEW_530,Car D.,ORB,ONE,ING,OOR,FAD,D,The missing letters are OOR (DOOR).
M3L_NEW_531,Back S.,EAT,IRE,ADO,AGE,INK,A,The missing letters are EAT (SEAT).
M3L_NEW_532,Seat B.,EYE,ODD,IVY,ELT,MOO,D,The missing letters are ELT (BELT).
M3L_NEW_533,Car ENE.,IVE,NGI,RAY,CAN,TAD,B,The missing letters are NGI (ENGINE).
M3L_NEW_534,Fill with PET.,HAY,ILL,ROL,WIT,FRY,C,The missing letters are ROL (PETROL).
M3L_NEW_535,Fill with DEL.,IES,FAD,WIT,HOP,AIM,A,The missing letters are IES (DIESEL).
M3L_NEW_536,Petrol STAT.,VET,SIT,DOG,ION,DOT,D,The missing letters are ION (STATION).
M3L_NEW_537,Mechanic GAE.,RAG,SHY,SEE,TOO,OWN,A,The missing letters are RAG (GARAGE).
M3L_NEW_538,Car K.,PAR,EYE,LEE,IRE,ING,A,The missing letters are PAR (PARK).
M3L_NEW_539,Parking CE.,ENT,SPA,WAG,JET,EGG,B,The missing letters are SPA (SPACE).
M3L_NEW_540,Parking TIC.,KET,WEE,PRY,TEE,DAD,A,The missing letters are KET (TICKET).
M3L_NEW_541,Parking ME.,ORE,TER,END,ENT,HAD,B,The missing letters are TER (METER).
M3L_NEW_542,Traffic WAR.,CRY,ONE,DEN,AND,POT,C,The missing letters are DEN (WARDEN).
M3L_NEW_543,Parking E.,OWL,FIN,PIT,OUT,BEE,B,The missing letters are FIN (FINE).
M3L_NEW_544,Road S.,IGN,JOY,ARM,SIT,CAN,A,The missing letters are IGN (SIGN).
M3L_NEW_545,Traffic LI.,DOG,WAY,END,GHT,HIT,D,The missing letters are GHT (LIGHT).
M3L_NEW_546,Zebra CROSG.,BIT,SAD,SIN,ENT,ARK,C,The missing letters are SIN (CROSSING).
M3L_NEW_547,Humber DGE.,LAY,COO,BRI,BAD,KAY,C,The missing letters are BRI (BRIDGE).
M3L_NEW_548,Dark TEL.,OPT,UNN,MET,SKY,CAN,B,The missing letters are UNN (TUNNEL).
M3L_NEW_549,Go round ROUNDUT.,ABO,END,RAG,LET,SEE,A,The missing letters are ABO (ROUNDABOUT).
M3L_NEW_550,Busy JUNON.,OFF,ASK,BIG,CTI,OPT,D,The missing letters are CTI (JUNCTION).
M3L_NEW_551,Street COR.,ALL,GET,RNE,TEE,AGE,C,The missing letters are RNE (CORNER).
M3L_NEW_552,Sharp B.,BIT,NAY,END,OUT,ONE,C,The missing letters are END (BEND).
M3L_NEW_553,Steep L.,FAD,FEE,OAT,SET,HIL,E,The missing letters are HIL (HILL).
M3L_NEW_554,Gentle SL.,NAY,DRY,SET,ONE,OPE,E,The missing letters are OPE (SLOPE).
M3L_NEW_555,Deep LEY.,RAY,BOY,VAL,ARK,WET,C,The missing letters are VAL (VALLEY).
M3L_NEW_556,High MOUNT.,AIN,CRY,LAG,SUN,CAD,A,The missing letters are AIN (MOUNTAIN).
M3L_NEW_557,Mountain K.,HOT,TOY,PEA,JET,INN,C,The missing letters are PEA (PEAK).
M3L_NEW_558,Reach the SIT.,OAR,IVY,UMM,ORB,JOY,C,The missing letters are UMM (SUMMIT).
M3L_NEW_559,White FF.,ORB,ART,LOO,LAG,CLI,E,The missing letters are CLI (CLIFF).
M3L_NEW_560,Hard R.,RAG,IRE,WAY,OCK,ORB,D,The missing letters are OCK (ROCK).
M3L_NEW_561,Rolling ST.,OAR,ONE,APE,BIG,MOO,B,The missing letters are ONE (STONE).
M3L_NEW_562,Beach PEB.,BLE,PAY,EGG,EAT,GAY,A,The missing letters are BLE (PEBBLE).
M3L_NEW_563,Golden S.,ARM,POT,AND,FOX,DOG,C,The missing letters are AND (SAND).
M3L_NEW_564,Speck of D.,THY,UST,TAG,HOP,ADO,B,The missing letters are UST (DUST).
M3L_NEW_565,Potter's Y.,LET,INN,CLA,ROT,MET,C,The missing letters are CLA (CLAY).
M3L_NEW_566,Rich L.,NAG,PAT,ADO,LAY,SOI,E,The missing letters are SOI (SOIL).
M3L_NEW_567,Solid GND.,PAT,ROU,EEL,ADO,EAT,B,The missing letters are ROU (GROUND).
M3L_NEW_568,Mother EA.,LOT,EAT,SIT,RTH,HIT,D,The missing letters are RTH (EARTH).
M3L_NEW_569,Dry D.,EAR,CAD,EGG,LAN,ATE,D,The missing letters are LAN (LAND).
M3L_NEW_570,Pacific OC.,LAD,OUR,IVE,EVE,EAN,E,The missing letters are EAN (OCEAN).
M3L_NEW_571,Big W.,THY,AVE,ONE,BOY,SAY,B,The missing letters are AVE (WAVE).
M3L_NEW_572,High E.,BIG,MAY,HAT,TID,EYE,D,The missing letters are TID (TIDE).
M3L_NEW_573,Sea M.,MAY,NAG,FOA,MOO,OUT,C,The missing letters are FOA (FOAM).
M3L_NEW_574,Sea SP.,PAD,ART,BEE,BAG,RAY,E,The missing letters are RAY (SPRAY).
M3L_NEW_575,Sea S.,RAD,ACT,SAT,ALT,CAD,D,The missing letters are ALT (SALT).
M3L_NEW_576,Fresh WR.,ATE,LEE,HAD,LAG,THY,A,The missing letters are ATE (WATER).
M3L_NEW_577,Wide RR.,DRY,PAY,AIR,PRY,IVE,E,The missing letters are IVE (RIVER).
M3L_NEW_578,Flowing STM.,REA,POT,ASH,YAK,BAY,A,The missing letters are REA (STREAM).
M3L_NEW_579,Babbling OK.,BRO,BOX,DOT,TAG,CAD,A,The missing letters are BRO (BROOK).
M3L_NEW_580,Up the CK.,USE,KIT,SIT,EGG,REE,E,The missing letters are REE (CREEK).
M3L_NEW_581,Barge on CA.,NAL,ORB,GET,PRY,ARK,A,The missing letters are NAL (CANAL).
M3L_NEW_582,Great L.,TOY,ENT,JOY,AKE,APE,D,The missing letters are AKE (LAKE).
M3L_NEW_583,Ness H.,DAY,IVY,OAK,LOC,JAY,D,The missing letters are LOC (LOCH).
M3L_NEW_584,Garden P.,HIT,OND,COT,EAR,KAY,B,The missing letters are OND (POND).
M3L_NEW_585,Swimming L.,POO,INK,IVY,KAY,RAY,A,The missing letters are POO (POOL).
M3L_NEW_586,Muddy PLE.,SEE,MAN,OAT,UDD,SET,D,The missing letters are UDD (PUDDLE).
M3L_NEW_587,Pouring R.,AIN,END,PAT,MAY,FLY,A,The missing letters are AIN (RAIN).
M3L_NEW_588,Light SHO.,ODD,WIT,WER,FRY,ONE,C,The missing letters are WER (SHOWER).
M3L_NEW_589,Thunder RM.,JET,FEE,STO,NEW,GET,C,The missing letters are STO (STORM).
M3L_NEW_590,Loud THUR.,RAG,CAN,WIT,NDE,OUS,D,The missing letters are NDE (THUNDER).
M3L_NEW_591,Flash of LIGHTN.,ING,ONE,YAK,LET,TAD,A,The missing letters are ING (LIGHTNING).
M3L_NEW_592,Grey UD.,MOO,TRY,CLO,YET,BIG,C,The missing letters are CLO (CLOUD).
M3L_NEW_593,Silver N.,HIT,MOO,BOO,BAD,RAT,B,The missing letters are MOO (MOON).
M3L_NEW_594,Bright R.,FOR,HAT,NOT,STA,DOT,D,The missing letters are STA (STAR).
M3L_NEW_595,Strong W.,NOT,HAD,EGO,IND,ADD,D,The missing letters are IND (WIND).
M3L_NEW_596,Gentle EZE.,FAT,OLD,BRE,NAG,LAY,C,The missing letters are BRE (BREEZE).
M3L_NEW_597,Force G.,ILL,ALE,YAK,MY,MAG,B,The missing letters are ALE (GALE).
M3L_NEW_598,Big HURRIE.,DAD,PRY,WAG,CAN,ARK,D,The missing letters are CAN (HURRICANE).
M3L_NEW_599,Twisting TORO.,LIT,NAD,SAT,BIT,DRY,B,The missing letters are NAD (TORNADO).
M3L_NEW_600,White S.,ACE,NOW,WHY,BIG,YAK,B,The missing letters are NOW (SNOW).
M3L_NEW_601,Snow KE.,POT,FLA,BAY,JOY,APE,B,The missing letters are FLA (FLAKE).
M3L_NEW_602,Jack FT.,ROS,OLD,RUN,TOP,EGO,A,The missing letters are ROS (FROST).
M3L_NEW_603,Frozen H.,SET,MAY,ICE,AIL,RUN,D,The missing letters are AIL (HAIL).
M3L_NEW_604,Morning M.,SAT,BAG,NAY,IST,FAD,D,The missing letters are IST (MIST).
M3L_NEW_605,Summer H.,IRE,EAT,PET,FLY,RAT,B,The missing letters are EAT (HEAT).
M3L_NEW_606,Winter D.,HAY,WIT,KAY,COL,GET,D,The missing letters are COL (COLD).
M3L_NEW_607,Bad THER.,FAD,POT,FLY,WEA,LAG,D,The missing letters are WEA (WEATHER).
M3L_NEW_608,Change CATE.,SHY,LIM,OAR,THE,YAK,B,The missing letters are LIM (CLIMATE).
M3L_NEW_609,Festive SON.,RAG,WIT,HAD,SEA,WET,D,The missing letters are SEA (SEASON).
M3L_NEW_610,Early SPG.,TION,IVY,PAT,ARM,RIN,E,The missing letters are RIN (SPRING).
M3L_NEW_611,Hot SER.,UMM,LAD,PIT,MAT,MAG,A,The missing letters are UMM (SUMMER).
M3L_NEW_612,Late UMN.,TOY,TOO,IVE,AUT,BAT,D,The missing letters are AUT (AUTUMN).
M3L_NEW_613,Cold WIN.,ORE,LOO,RAG,HOT,TER,E,The missing letters are TER (WINTER).
M3L_NEW_614,Month JANU.,TRY,OUS,ARY,TEE,HAY,C,The missing letters are ARY (JANUARY).
M3L_NEW_615,Month FEBRU.,PAY,ARY,OAR,SHY,AIM,B,The missing letters are ARY (FEBRUARY).
M3L_NEW_616,Month MA.,OIL,NAY,RCH,BIG,BEE,C,The missing letters are RCH (MARCH).
M3L_NEW_617,Month IL.,HOT,AIM,OUS,TION,APR,E,The missing letters are APR (APRIL).
M3L_NEW_618,Month J.,ONE,THY,OAR,UNE,WAG,D,The missing letters are UNE (JUNE).
M3L_NEW_619,Month J.,YET,ADD,WAY,ULY,ACT,D,The missing letters are ULY (JULY).
M3L_NEW_620,Month AUG.,PRY,FRY,LIT,UST,OAT,D,The missing letters are UST (AUGUST).
M3L_NEW_621,Month SEPTER.,OAK,ALL,MBE,WIT,SAT,C,The missing letters are MBE (SEPTEMBER).
M3L_NEW_622,Month OBER.,FEE,OCT,EVE,DAY,ARM,B,The missing letters are OCT (OCTOBER).
M3L_NEW_623,Month NMBER.,MAY,OLD,HAD,OVE,ODD,D,The missing letters are OVE (NOVEMBER).
M3L_NEW_624,Month DEBER.,LOO,GET,BAY,RAT,CEM,E,The missing letters are CEM (DECEMBER).
M3L_NEW_625,Day DAY.,CAD,MON,RAY,OAT,APE,B,The missing letters are MON (MONDAY).
M3L_NEW_626,Day TDAY.,UES,CAT,ODD,ONE,MY,A,The missing letters are UES (TUESDAY).
M3L_NEW_627,Day WEDDAY.,WAY,NES,OAT,OWN,LIT,B,The missing letters are NES (WEDNESDAY).
M3L_NEW_628,Day THDAY.,URS,JET,BIG,VET,ASK,A,The missing letters are URS (THURSDAY).
M3L_NEW_629,Day DAY.,EST,MAT,OAT,HAG,FRI,E,The missing letters are FRI (FRIDAY).
M3L_NEW_630,Day SATUR.,TRY,BET,BOY,ACE,DAY,E,The missing letters are DAY (SATURDAY).
M3L_NEW_631,Day SUY.,CAT,ARM,NDA,TAG,SIT,C,The missing letters are NDA (SUNDAY).
M3L_NEW_632,Last K.,MET,WEE,SAD,BIT,FEE,B,The missing letters are WEE (WEEK).
M3L_NEW_633,Next TH.,MON,COO,MAD,RAD,SIT,A,The missing letters are MON (MONTH).
M3L_NEW_634,Leap Y.,DRY,EAR,FOR,AIM,OLD,B,The missing letters are EAR (YEAR).
M3L_NEW_635,New DEE.,ACT,PET,CAD,SET,ASH,C,The missing letters are CAD (DECADE).
M3L_NEW_636,Last CERY.,GET,OUT,RAD,NTU,JOY,D,The missing letters are NTU (CENTURY).
M3L_NEW_637,New MINNIUM.,HAG,LLE,PIT,AID,TRY,B,The missing letters are LLE (MILLENNIUM).
